stmt_index,label,eps_star,scale,g_read
583,1,33.0747,-33.07465199005579,32.3633
583,1,33.0747,36.847301959990936,77.3742
583,1,33.0747,-36.847301959990936,31.6776
248,1,31.4102,0.0,60.3029
248,1,31.4102,31.4101878738617,80.6142
248,1,31.4102,-31.4101878738617,29.8642
248,1,31.4102,36.847301959990936,80.5959
248,1,31.4102,-36.847301959990936,28.612
33,1,22.9765,0.0,49.6528
33,1,22.9765,22.976477931587215,72.483
33,1,22.9765,-22.976477931587215,17.983
33,1,22.9765,36.847301959990936,75.4401
33,1,22.9765,-36.847301959990936,14.2017
501,1,25.7471,0.0,40.294
501,1,25.7471,25.747066099810255,61.055
501,1,25.7471,-25.747066099810255,3.33361
501,1,25.7471,36.847301959990936,62.9058
501,1,25.7471,-36.847301959990936,-4.55195
205,1,12.4336,0.0,45.8709
205,1,12.4336,12.433580628617403,62.542
205,1,12.4336,-12.433580628617403,23.613
205,1,12.4336,24.867161257234805,63.9004
205,1,12.4336,-24.867161257234805,22.3339
536,1,16.2589,0.0,39.6268
536,1,16.2589,16.25888332066134,61.026
536,1,16.2589,-16.25888332066134,-7.79704
536,1,16.2589,32.51776664132268,65.8178
536,1,16.2589,-32.51776664132268,-20.0172
259,1,12.797,0.0,44.018
259,1,12.797,12.797033289480794,57.3743
259,1,12.797,-12.797033289480794,33.9736
259,1,12.797,25.594066578961588,59.4843
259,1,12.797,-25.594066578961588,28.5825
650,1,40.7571,0.0,60.5389
650,1,40.7571,36.847301959990936,80.9527
650,1,40.7571,-36.847301959990936,21.8283
321,1,28.705,0.0,51.9712
321,1,28.705,28.70496527739021,68.4319
321,1,28.705,-28.70496527739021,9.0459
321,1,28.705,36.847301959990936,68.2037
321,1,28.705,-36.847301959990936,2.62107
582,1,30.4425,0.0,45.4899
582,1,30.4425,30.442504872744447,70.4559
582,1,30.4425,-30.442504872744447,8.7815
582,1,30.4425,36.847301959990936,72.1202
582,1,30.4425,-36.847301959990936,5.82444
791,1,21.7863,0.0,37.2879
791,1,21.7863,21.786261465784403,54.2049
791,1,21.7863,-21.786261465784403,17.6802
791,1,21.7863,36.847301959990936,56.4311
791,1,21.7863,-36.847301959990936,17.4099
714,1,17.361,0.0,30.9983
714,1,17.361,17.361006456015147,46.0021
714,1,17.361,-17.361006456015147,2.54461
714,1,17.361,34.722012912030294,51.4216
714,1,17.361,-34.722012912030294,2.31581
881,1,14.9518,0.0,32.2599
881,1,14.9518,14.951786147885713,51.1761
881,1,14.9518,-14.951786147885713,9.40958
