stmt_index,label,direction,eps,eps_frac,rel_err
457,1,mean_diff_src,49.2313,0.5676,0.976168
457,1,mean_diff_src,80.031,0.9227,0.950844
457,1,mean_diff_src,130.099,1.5,0.994239
457,1,dct_v_top,4.33665,0.05,0.471667
457,1,dct_v_top,7.04972,0.08128,1.06586
457,1,dct_v_top,11.4601,0.1321,2.00566
457,1,dct_v_top,18.6297,0.2148,1.83895
457,1,dct_v_top,30.2847,0.3492,1.41798
457,1,dct_v_top,49.2313,0.5676,1.2528
457,1,dct_v_top,80.031,0.9227,1.06155
457,1,dct_v_top,130.099,1.5,1.01572
457,1,random,4.33665,0.05,0.0625527
457,1,random,7.04972,0.08128,0.100946
457,1,random,11.4601,0.1321,0.162016
457,1,random,18.6297,0.2148,0.257352
457,1,random,30.2847,0.3492,0.399952
457,1,random,49.2313,0.5676,0.59115
457,1,random,80.031,0.9227,0.799302
457,1,random,130.099,1.5,1.04998
466,1,jtw_mean_diff_tgt,4.33665,0.05,0.165513
466,1,jtw_mean_diff_tgt,7.04972,0.08128,0.256133
466,1,jtw_mean_diff_tgt,11.4601,0.1321,0.375863
466,1,jtw_mean_diff_tgt,18.6297,0.2148,0.51046
466,1,jtw_mean_diff_tgt,30.2847,0.3492,0.645925
466,1,jtw_mean_diff_tgt,49.2313,0.5676,0.76546
466,1,jtw_mean_diff_tgt,80.031,0.9227,0.853145
466,1,jtw_mean_diff_tgt,130.099,1.5,0.917202
466,1,mean_diff_src,4.33665,0.05,0.0944006
466,1,mean_diff_src,7.04972,0.08128,0.152696
466,1,mean_diff_src,11.4601,0.1321,0.24246
